CustomerID,Age,Gender,City,AnnualIncome_INR_K,SpendingScore,PurchaseFrequency,Recency_Days,Tenure_Months,ProductCategoryPreference,AvgOrderValue_INR,MonetaryValue_INR,SatisfactionScore,Cluster,SegmentName
CUST00524,39,Male,Pune,876.1,89,19,7,54,Beauty & Personal Care,200.0,4305.08,4.3,2,Premium Spenders (High-Value Loyal Customers)
CUST00766,34,Female,Bengaluru,1032.1,76,31,28,48,Sports & Fitness,200.0,6607.99,3.7,2,Premium Spenders (High-Value Loyal Customers)
CUST00839,38,Female,Hyderabad,419.2,29,13,126,32,Sports & Fitness,200.0,2580.14,3.2,3,At-Risk Customers
CUST00424,29,Male,Kolkata,329.4,70,23,18,35,Fashion & Apparel,200.0,5169.83,3.8,1,New Bargain Hunters
CUST00381,37,Female,Lucknow,1193.7,37,12,41,16,Fashion & Apparel,200.0,2835.78,3.1,3,At-Risk Customers
CUST00610,31,Female,Hyderabad,252.0,74,21,35,41,Electronics,200.0,3988.2,2.9,1,New Bargain Hunters
CUST00677,48,Female,Ahmedabad,666.2,53,19,22,21,Grocery,200.0,3755.99,3.1,0,Steady Mature Regulars
CUST00345,27,Male,Mumbai,958.1,15,8,47,29,Home & Furniture,200.0,1680.34,3.0,3,At-Risk Customers
CUST00110,64,Male,Ahmedabad,747.3,47,22,130,41,Grocery,200.0,3633.32,4.1,0,Steady Mature Regulars
CUST00278,39,Male,Mumbai,611.6,50,19,12,13,Home & Furniture,200.0,3826.98,3.5,1,New Bargain Hunters
CUST00678,41,Male,Jaipur,693.2,43,13,5,22,Books & Stationery,200.0,2964.56,2.9,0,Steady Mature Regulars
CUST00571,38,Male,Mumbai,1032.7,16,11,74,31,Home & Furniture,200.0,2091.54,2.6,3,At-Risk Customers
CUST00359,33,Male,Delhi,956.2,3,4,25,29,Home & Furniture,200.0,684.0,3.1,3,At-Risk Customers
CUST00599,32,Male,Mumbai,1563.9,20,4,186,18,Sports & Fitness,200.0,718.3,3.1,3,At-Risk Customers
CUST00391,31,Female,Jaipur,1201.3,27,17,16,18,Grocery,200.0,2876.46,3.3,3,At-Risk Customers
CUST00894,40,Female,Delhi,740.5,42,18,55,37,Home & Furniture,200.0,4088.84,4.1,1,New Bargain Hunters
CUST00693,49,Male,Delhi,691.6,52,19,41,34,Beauty & Personal Care,200.0,3319.33,4.6,0,Steady Mature Regulars
CUST00728,41,Male,Mumbai,826.6,96,26,1,32,Home & Furniture,200.0,7174.33,4.4,2,Premium Spenders (High-Value Loyal Customers)
CUST00363,20,Male,Chennai,951.6,3,6,2,20,Books & Stationery,200.0,1205.28,2.3,3,At-Risk Customers
CUST00597,44,Female,Delhi,1503.8,24,12,31,25,Electronics,200.0,2423.62,3.3,3,At-Risk Customers
CUST00428,37,Male,Chennai,375.8,67,22,22,18,Books & Stationery,200.0,4881.09,3.3,1,New Bargain Hunters
CUST00071,68,Male,Mumbai,626.4,54,21,8,40,Books & Stationery,200.0,4691.68,4.9,0,Steady Mature Regulars
CUST00322,38,Female,Kolkata,735.3,44,19,59,48,Fashion & Apparel,200.0,4558.57,2.5,1,New Bargain Hunters
CUST00653,33,Female,Hyderabad,508.5,51,18,32,29,Grocery,200.0,2959.89,3.5,1,New Bargain Hunters
CUST01066,18,Male,Ahmedabad,595.7,65,20,54,45,Home & Furniture,200.0,4380.81,4.0,1,New Bargain Hunters
CUST00108,54,Male,Pune,730.6,47,24,95,21,Books & Stationery,200.0,5582.31,2.6,0,Steady Mature Regulars
CUST01109,70,Male,Kolkata,788.3,45,17,65,23,Home & Furniture,200.0,3023.61,2.7,0,Steady Mature Regulars
CUST00356,27,Female,Pune,920.3,85,34,85,23,Electronics,200.0,7846.02,3.5,2,Premium Spenders (High-Value Loyal Customers)
CUST00951,41,Male,Jaipur,934.4,17,8,85,22,Grocery,200.0,1470.52,2.7,3,At-Risk Customers
CUST00343,28,Female,Chennai,917.9,38,8,28,24,Beauty & Personal Care,200.0,1412.29,3.5,3,At-Risk Customers
CUST00355,48,Female,Ahmedabad,901.6,19,5,28,31,Beauty & Personal Care,200.0,1173.19,2.8,3,At-Risk Customers
CUST00024,31,Male,Lucknow,319.6,72,16,4,45,Beauty & Personal Care,200.0,4031.14,3.9,1,New Bargain Hunters
CUST00044,31,Female,Kolkata,454.7,63,15,185,40,Sports & Fitness,200.0,2435.04,4.1,1,New Bargain Hunters
CUST00244,29,Female,Hyderabad,504.0,58,18,12,28,Books & Stationery,200.0,3901.82,3.0,1,New Bargain Hunters
CUST00738,33,Male,Lucknow,847.0,76,18,27,32,Home & Furniture,200.0,3877.82,3.4,1,New Bargain Hunters
CUST01136,31,Female,Hyderabad,878.1,84,26,28,40,Grocery,200.0,8528.43,3.2,2,Premium Spenders (High-Value Loyal Customers)
CUST00368,32,Female,Delhi,1036.1,100,29,9,51,Fashion & Apparel,200.0,7390.55,5.0,2,Premium Spenders (High-Value Loyal Customers)
CUST00164,30,Female,Mumbai,993.6,98,26,1,17,Home & Furniture,200.0,5137.2,5.0,2,Premium Spenders (High-Value Loyal Customers)
CUST01116,19,Female,Kolkata,789.2,49,18,73,20,Grocery,200.0,3951.61,3.2,1,New Bargain Hunters
CUST00333,24,Female,Jaipur,888.5,39,11,101,35,Sports & Fitness,200.0,2279.54,3.2,1,New Bargain Hunters
CUST00989,41,Female,Lucknow,1286.3,12,1,215,15,Fashion & Apparel,200.0,214.08,3.4,3,At-Risk Customers
CUST01173,36,Male,Delhi,1041.1,11,13,120,17,Fashion & Apparel,200.0,2087.92,2.5,3,At-Risk Customers
CUST01002,20,Male,Ahmedabad,175.6,83,24,71,37,Electronics,200.0,4809.15,3.9,1,New Bargain Hunters
CUST00378,25,Male,Bengaluru,1081.7,68,30,16,35,Electronics,200.0,7942.12,4.9,2,Premium Spenders (High-Value Loyal Customers)
CUST00310,68,Male,Lucknow,759.3,48,14,29,18,Grocery,200.0,2990.81,4.0,0,Steady Mature Regulars
CUST00156,29,Female,Lucknow,947.7,88,26,5,37,Electronics,200.0,8064.73,5.0,2,Premium Spenders (High-Value Loyal Customers)
CUST00211,68,Male,Mumbai,217.5,9,8,23,12,Grocery,200.0,1333.87,3.0,3,At-Risk Customers
CUST00087,54,Female,Mumbai,650.8,58,14,5,35,Fashion & Apparel,200.0,2648.21,4.5,0,Steady Mature Regulars
CUST00169,36,Female,Ahmedabad,1075.1,22,8,96,27,Beauty & Personal Care,200.0,1664.75,2.8,3,At-Risk Customers
CUST00995,47,Female,Hyderabad,1444.3,18,10,163,10,Grocery,200.0,1872.1,3.1,3,At-Risk Customers
CUST00052,34,Male,Chennai,541.9,59,15,44,23,Sports & Fitness,200.0,2561.85,3.4,1,New Bargain Hunters
CUST00439,35,Female,Hyderabad,444.2,30,12,45,28,Electronics,200.0,2439.31,2.4,1,New Bargain Hunters
CUST00550,35,Male,Hyderabad,958.3,94,30,8,26,Grocery,200.0,7986.66,3.9,2,Premium Spenders (High-Value Loyal Customers)
CUST00491,69,Female,Jaipur,694.6,53,19,47,22,Beauty & Personal Care,200.0,4257.45,2.7,0,Steady Mature Regulars
CUST00426,29,Male,Ahmedabad,364.3,82,31,49,40,Beauty & Personal Care,200.0,5768.73,4.6,2,Premium Spenders (High-Value Loyal Customers)
CUST00136,28,Female,Ahmedabad,922.5,91,36,16,42,Fashion & Apparel,200.0,6051.96,4.2,2,Premium Spenders (High-Value Loyal Customers)
CUST01192,33,Female,Chennai,1253.6,73,19,13,39,Fashion & Apparel,200.0,3982.53,3.6,2,Premium Spenders (High-Value Loyal Customers)
CUST00055,49,Female,Bengaluru,497.9,44,20,172,36,Books & Stationery,200.0,4390.33,2.3,0,Steady Mature Regulars
CUST00079,24,Female,Mumbai,657.1,54,21,66,46,Beauty & Personal Care,200.0,4974.51,3.1,1,New Bargain Hunters
CUST00431,59,Male,Lucknow,329.5,1,7,45,12,Home & Furniture,200.0,1174.59,2.9,3,At-Risk Customers
CUST00185,42,Female,Bengaluru,1144.2,40,20,70,19,Books & Stationery,200.0,4123.28,3.7,0,Steady Mature Regulars
CUST00057,51,Female,Mumbai,547.4,53,22,65,13,Home & Furniture,200.0,5267.36,3.3,0,Steady Mature Regulars
CUST00943,29,Female,Lucknow,979.6,45,19,71,26,Beauty & Personal Care,200.0,4266.06,3.6,1,New Bargain Hunters
CUST00851,49,Female,Kolkata,523.2,55,16,22,29,Electronics,200.0,3211.75,2.4,0,Steady Mature Regulars
CUST01164,29,Female,Lucknow,984.0,92,24,45,27,Beauty & Personal Care,200.0,5754.33,4.2,2,Premium Spenders (High-Value Loyal Customers)
CUST00219,52,Male,Jaipur,300.3,27,10,65,31,Beauty & Personal Care,200.0,1737.65,2.4,0,Steady Mature Regulars
CUST00845,49,Female,Mumbai,433.5,29,17,109,31,Home & Furniture,200.0,2933.71,3.5,0,Steady Mature Regulars
CUST00114,18,Male,Pune,778.1,48,12,11,20,Books & Stationery,200.0,2496.84,3.6,1,New Bargain Hunters
CUST00549,35,Female,Pune,923.7,24,12,31,48,Grocery,200.0,2508.11,3.6,1,New Bargain Hunters
CUST01019,52,Male,Pune,730.6,29,10,70,26,Beauty & Personal Care,200.0,2128.75,3.3,3,At-Risk Customers
CUST01073,60,Female,Pune,615.8,52,19,123,44,Electronics,200.0,3458.18,4.1,0,Steady Mature Regulars
CUST00175,50,Female,Mumbai,1055.4,13,3,6,22,Books & Stationery,200.0,678.79,3.1,3,At-Risk Customers
CUST01023,46,Female,Hyderabad,302.1,8,7,352,29,Books & Stationery,200.0,1147.53,3.6,3,At-Risk Customers
CUST00616,20,Male,Bengaluru,228.4,77,27,96,29,Beauty & Personal Care,200.0,4575.34,4.1,1,New Bargain Hunters
CUST00514,19,Male,Jaipur,765.2,39,17,140,44,Grocery,200.0,3266.83,3.3,1,New Bargain Hunters
CUST00462,18,Male,Bengaluru,524.5,57,26,165,9,Electronics,200.0,6135.43,3.3,1,New Bargain Hunters
CUST00287,55,Female,Ahmedabad,706.0,53,16,20,32,Electronics,200.0,3234.04,3.6,0,Steady Mature Regulars
CUST00382,34,Female,Pune,1160.2,84,35,36,38,Grocery,200.0,7686.13,3.8,2,Premium Spenders (High-Value Loyal Customers)
CUST01008,23,Female,Lucknow,226.9,99,31,3,31,Fashion & Apparel,200.0,9291.42125,4.6,2,Premium Spenders (High-Value Loyal Customers)
CUST00671,71,Male,Chennai,609.8,58,15,271,37,Home & Furniture,200.0,2669.37,2.8,0,Steady Mature Regulars
CUST00535,18,Male,Pune,863.1,3,8,35,23,Sports & Fitness,200.0,1524.99,3.4,3,At-Risk Customers
CUST00910,65,Male,Delhi,761.3,47,14,130,15,Fashion & Apparel,200.0,2827.73,3.0,0,Steady Mature Regulars
CUST00293,50,Male,Ahmedabad,704.4,49,19,79,30,Home & Furniture,200.0,4054.4,4.1,0,Steady Mature Regulars
CUST00124,41,Male,Hyderabad,788.9,86,21,63,42,Home & Furniture,200.0,4352.58,4.7,2,Premium Spenders (High-Value Loyal Customers)
CUST00583,46,Male,Chennai,1115.1,14,7,73,9,Beauty & Personal Care,200.0,1480.3,3.3,3,At-Risk Customers
CUST00141,57,Female,Mumbai,880.1,6,8,148,12,Sports & Fitness,200.0,1515.78,3.0,3,At-Risk Customers
CUST00736,29,Female,Delhi,916.1,85,24,54,29,Beauty & Personal Care,200.0,7186.7,4.2,2,Premium Spenders (High-Value Loyal Customers)
CUST00082,37,Male,Kolkata,593.7,52,23,3,34,Books & Stationery,200.0,4232.8,3.3,1,New Bargain Hunters
CUST00882,39,Male,Kolkata,657.7,57,17,156,39,Home & Furniture,200.0,3845.05,3.8,1,New Bargain Hunters
CUST00740,32,Female,Pune,868.0,78,35,68,27,Sports & Fitness,200.0,6231.36,4.1,2,Premium Spenders (High-Value Loyal Customers)
CUST01102,50,Female,Jaipur,721.7,52,20,11,19,Electronics,200.0,3306.38,2.9,0,Steady Mature Regulars
CUST00909,68,Male,Kolkata,736.0,40,13,210,31,Electronics,200.0,2189.86,4.1,0,Steady Mature Regulars
CUST01167,45,Male,Pune,1060.0,22,11,151,5,Electronics,200.0,1929.97,3.3,3,At-Risk Customers
CUST00937,43,Female,Pune,882.2,6,4,81,22,Sports & Fitness,200.0,950.54,3.1,3,At-Risk Customers
CUST00372,30,Male,Lucknow,1038.5,77,34,12,43,Sports & Fitness,200.0,9291.42125,3.4,2,Premium Spenders (High-Value Loyal Customers)
CUST00890,48,Female,Bengaluru,707.7,43,11,105,19,Beauty & Personal Care,200.0,1761.12,3.6,3,At-Risk Customers
CUST00157,37,Male,Hyderabad,926.6,1,2,8,8,Fashion & Apparel,200.0,373.91,2.2,3,At-Risk Customers
CUST00992,34,Female,Kolkata,1212.7,64,20,19,28,Sports & Fitness,200.0,3270.54,3.3,1,New Bargain Hunters
CUST00622,25,Male,Hyderabad,307.2,78,20,25,20,Home & Furniture,200.0,4257.33,4.1,1,New Bargain Hunters
CUST01038,29,Female,Jaipur,405.7,73,23,15,34,Beauty & Personal Care,200.0,6241.57,5.0,1,New Bargain Hunters
CUST00245,52,Female,Hyderabad,464.4,32,8,108,23,Beauty & Personal Care,200.0,1670.72,4.0,3,At-Risk Customers
CUST00159,33,Male,Lucknow,925.7,5,4,40,16,Home & Furniture,200.0,670.56,3.2,3,At-Risk Customers
CUST00746,29,Male,Jaipur,878.9,98,30,5,35,Fashion & Apparel,200.0,7727.88,4.7,2,Premium Spenders (High-Value Loyal Customers)
CUST00193,33,Male,Hyderabad,1342.4,9,5,141,31,Electronics,200.0,1090.75,3.3,3,At-Risk Customers
CUST00534,32,Female,Mumbai,828.0,74,27,224,25,Grocery,200.0,5507.37,4.3,1,New Bargain Hunters
CUST00904,28,Male,Chennai,763.3,58,28,102,46,Grocery,200.0,5761.89,4.1,2,Premium Spenders (High-Value Loyal Customers)
CUST01004,24,Female,Jaipur,207.1,80,25,78,42,Beauty & Personal Care,200.0,4215.5,4.1,1,New Bargain Hunters
CUST01070,32,Female,Hyderabad,564.6,50,17,180,27,Beauty & Personal Care,200.0,3437.53,2.0,1,New Bargain Hunters
CUST00414,25,Female,Ahmedabad,242.0,75,24,14,25,Electronics,200.0,4346.05,4.0,1,New Bargain Hunters
CUST01187,54,Female,Lucknow,1171.8,21,7,45,20,Electronics,200.0,1436.2,2.7,3,At-Risk Customers
CUST00328,40,Male,Jaipur,847.7,94,24,26,50,Sports & Fitness,200.0,8755.4,4.7,2,Premium Spenders (High-Value Loyal Customers)
CUST00129,58,Male,Ahmedabad,848.9,14,7,118,8,Electronics,200.0,1164.54,3.2,3,At-Risk Customers
CUST00695,31,Female,Lucknow,713.3,47,16,97,15,Grocery,200.0,2681.67,2.9,1,New Bargain Hunters
CUST00631,62,Male,Jaipur,378.7,4,4,68,1,Books & Stationery,200.0,678.67,1.7,3,At-Risk Customers
CUST00275,61,Male,Lucknow,643.2,46,12,19,11,Grocery,200.0,2453.35,3.2,0,Steady Mature Regulars
CUST01148,32,Female,Delhi,906.7,77,35,64,42,Books & Stationery,200.0,9291.42125,2.8,2,Premium Spenders (High-Value Loyal Customers)
CUST00309,69,Male,Jaipur,805.9,44,14,170,22,Books & Stationery,200.0,2492.95,4.0,0,Steady Mature Regulars
CUST00234,19,Male,Bengaluru,355.1,92,35,1,39,Electronics,200.0,7789.78,3.9,2,Premium Spenders (High-Value Loyal Customers)
CUST01048,28,Female,Mumbai,461.4,50,22,20,34,Home & Furniture,200.0,3974.27,3.5,1,New Bargain Hunters
CUST00623,46,Female,Lucknow,330.5,6,6,206,19,Books & Stationery,200.0,1067.38,3.0,3,At-Risk Customers
CUST00644,31,Female,Mumbai,430.6,60,20,34,15,Books & Stationery,200.0,3558.95,4.0,1,New Bargain Hunters
CUST00479,23,Female,Hyderabad,629.8,50,22,65,34,Beauty & Personal Care,200.0,4039.89,3.8,1,New Bargain Hunters
CUST00472,47,Female,Delhi,548.0,40,22,21,32,Electronics,200.0,3927.33,4.0,0,Steady Mature Regulars
CUST00926,33,Female,Kolkata,844.8,78,18,15,29,Fashion & Apparel,200.0,3960.73,4.0,1,New Bargain Hunters
CUST01098,28,Female,Hyderabad,701.2,53,18,32,31,Home & Furniture,200.0,3421.28,3.1,1,New Bargain Hunters
CUST00627,45,Female,Mumbai,357.5,34,9,20,26,Fashion & Apparel,200.0,1710.41,2.5,0,Steady Mature Regulars
CUST00395,48,Female,Jaipur,1449.4,19,13,21,19,Fashion & Apparel,200.0,2101.36,1.9,3,At-Risk Customers
CUST00637,42,Female,Chennai,413.5,17,7,75,3,Sports & Fitness,200.0,1280.58,3.5,3,At-Risk Customers
CUST00768,32,Female,Lucknow,1029.8,93,26,50,42,Grocery,200.0,7358.78,3.9,2,Premium Spenders (High-Value Loyal Customers)
CUST00533,24,Female,Bengaluru,858.6,38,16,140,25,Grocery,200.0,2634.29,3.2,1,New Bargain Hunters
CUST00718,50,Female,Hyderabad,805.6,59,21,62,17,Fashion & Apparel,200.0,3654.48,3.9,0,Steady Mature Regulars
CUST00667,41,Female,Hyderabad,570.8,51,17,66,49,Electronics,200.0,3394.8,4.4,1,New Bargain Hunters
CUST00598,33,Male,Kolkata,1508.3,81,36,11,37,Electronics,200.0,7300.14,3.6,2,Premium Spenders (High-Value Loyal Customers)
CUST00482,40,Male,Bengaluru,622.4,58,16,83,27,Fashion & Apparel,200.0,3705.31,3.8,1,New Bargain Hunters
CUST01103,68,Male,Ahmedabad,674.9,61,19,61,30,Beauty & Personal Care,200.0,3409.88,2.7,0,Steady Mature Regulars
CUST00315,19,Female,Pune,737.9,48,19,8,33,Home & Furniture,200.0,4522.02,3.1,1,New Bargain Hunters
CUST00729,58,Male,Lucknow,873.7,9,12,244,12,Fashion & Apparel,200.0,2798.53,3.4,3,At-Risk Customers
CUST00210,30,Female,Bengaluru,240.8,68,23,2,21,Beauty & Personal Care,200.0,5314.85,4.2,1,New Bargain Hunters
CUST00934,33,Female,Delhi,872.1,70,25,3,29,Books & Stationery,200.0,5737.41,4.5,2,Premium Spenders (High-Value Loyal Customers)
CUST00434,18,Male,Hyderabad,395.6,89,27,4,36,Sports & Fitness,200.0,6792.24,4.0,2,Premium Spenders (High-Value Loyal Customers)
CUST00329,58,Male,Bengaluru,798.6,17,9,128,25,Grocery,200.0,2091.37,3.4,3,At-Risk Customers
CUST00261,70,Male,Hyderabad,576.1,53,24,31,28,Grocery,200.0,3905.83,3.3,0,Steady Mature Regulars
CUST01117,64,Female,Bengaluru,772.8,44,22,42,36,Grocery,200.0,4345.67,2.9,0,Steady Mature Regulars
CUST00307,66,Female,Delhi,703.3,51,20,137,22,Beauty & Personal Care,200.0,4193.4,3.6,0,Steady Mature Regulars
CUST01067,42,Female,Bengaluru,730.6,54,15,13,35,Books & Stationery,200.0,2488.82,3.3,0,Steady Mature Regulars
CUST00928,40,Male,Chennai,838.9,95,21,1,32,Beauty & Personal Care,200.0,4381.74,4.9,2,Premium Spenders (High-Value Loyal Customers)
CUST01025,51,Female,Kolkata,308.5,22,9,78,10,Electronics,200.0,1503.94,2.6,3,At-Risk Customers
CUST00271,69,Male,Jaipur,590.7,57,26,35,41,Home & Furniture,200.0,4916.21,3.5,0,Steady Mature Regulars
CUST00291,68,Female,Ahmedabad,692.6,51,16,66,38,Sports & Fitness,200.0,2880.77,3.6,0,Steady Mature Regulars
CUST00813,58,Female,Hyderabad,256.5,17,10,163,22,Electronics,200.0,1869.36,2.2,3,At-Risk Customers
CUST00097,45,Female,Hyderabad,680.6,47,24,12,24,Books & Stationery,200.0,5568.02,2.5,0,Steady Mature Regulars
CUST00888,21,Female,Chennai,672.3,58,12,1,34,Books & Stationery,200.0,2843.65,3.2,1,New Bargain Hunters
CUST00819,52,Male,Mumbai,290.5,36,14,5,11,Sports & Fitness,200.0,2380.97,4.2,0,Steady Mature Regulars
CUST00032,21,Female,Jaipur,331.9,76,31,20,46,Electronics,200.0,6250.04,4.3,2,Premium Spenders (High-Value Loyal Customers)
CUST00763,20,Male,Pune,965.2,7,6,52,6,Home & Furniture,200.0,979.56,2.3,3,At-Risk Customers
CUST00954,37,Female,Bengaluru,909.1,74,27,5,29,Books & Stationery,200.0,5456.16,4.1,2,Premium Spenders (High-Value Loyal Customers)
CUST00320,49,Female,Pune,755.6,54,19,81,43,Sports & Fitness,200.0,4627.4,3.9,0,Steady Mature Regulars
CUST00299,46,Male,Chennai,749.8,43,14,13,26,Home & Furniture,200.0,3330.19,4.3,0,Steady Mature Regulars
CUST00200,30,Male,Lucknow,1563.9,86,31,9,43,Sports & Fitness,200.0,8430.74,4.1,2,Premium Spenders (High-Value Loyal Customers)
CUST00561,56,Female,Jaipur,918.6,31,17,126,7,Home & Furniture,200.0,4063.94,4.2,3,At-Risk Customers
CUST00179,59,Male,Pune,1123.3,18,19,221,25,Beauty & Personal Care,200.0,3514.31,2.8,3,At-Risk Customers
CUST01132,39,Male,Ahmedabad,813.2,74,35,160,43,Sports & Fitness,200.0,7968.78,4.2,2,Premium Spenders (High-Value Loyal Customers)
CUST00089,35,Female,Mumbai,746.1,64,12,9,20,Grocery,200.0,2715.47,3.7,1,New Bargain Hunters
CUST00788,28,Male,Kolkata,1192.8,66,19,18,25,Grocery,200.0,5400.34,3.7,2,Premium Spenders (High-Value Loyal Customers)
CUST00725,22,Female,Ahmedabad,838.6,30,7,198,32,Electronics,200.0,1604.96,2.6,3,At-Risk Customers
CUST00827,45,Female,Delhi,350.1,29,9,27,37,Electronics,200.0,2026.25,3.1,0,Steady Mature Regulars
CUST00209,63,Male,Kolkata,227.8,5,5,173,31,Sports & Fitness,200.0,1108.34,2.6,3,At-Risk Customers
CUST01040,21,Female,Jaipur,436.4,81,30,10,32,Electronics,200.0,6363.33,4.0,2,Premium Spenders (High-Value Loyal Customers)
CUST00297,47,Female,Bengaluru,728.1,48,17,11,21,Fashion & Apparel,200.0,2963.41,3.3,0,Steady Mature Regulars
CUST00998,32,Male,Pune,1512.4,73,25,153,54,Books & Stationery,200.0,5272.26,3.7,2,Premium Spenders (High-Value Loyal Customers)
CUST00498,27,Female,Delhi,779.4,50,11,53,52,Grocery,200.0,2579.43,4.3,1,New Bargain Hunters
CUST00835,48,Female,Delhi,398.8,13,9,120,29,Home & Furniture,200.0,1761.66,3.6,3,At-Risk Customers
CUST00430,23,Female,Bengaluru,374.9,94,30,9,50,Grocery,200.0,9291.42125,3.8,2,Premium Spenders (High-Value Loyal Customers)
CUST00507,69,Female,Delhi,744.7,53,14,17,40,Books & Stationery,200.0,3355.26,3.5,0,Steady Mature Regulars
CUST00831,60,Male,Jaipur,392.7,3,6,25,15,Home & Furniture,200.0,1126.41,2.5,3,At-Risk Customers
CUST00694,37,Female,Delhi,666.1,38,15,50,32,Grocery,200.0,2526.92,4.3,1,New Bargain Hunters
CUST00011,68,Male,Mumbai,250.2,11,7,365,33,Sports & Fitness,200.0,1499.18,2.8,3,At-Risk Customers
CUST00848,28,Female,Chennai,492.4,43,17,70,23,Electronics,200.0,2966.26,3.0,1,New Bargain Hunters
CUST00463,65,Female,Jaipur,561.4,50,19,74,37,Fashion & Apparel,200.0,4169.63,4.3,0,Steady Mature Regulars
CUST00199,32,Male,Pune,1563.9,12,8,102,2,Sports & Fitness,200.0,1324.72,3.0,3,At-Risk Customers
CUST00060,54,Male,Pune,539.9,40,10,1,35,Sports & Fitness,200.0,2382.17,3.1,0,Steady Mature Regulars
CUST00907,66,Female,Hyderabad,791.0,51,16,124,33,Fashion & Apparel,200.0,3788.93,3.3,0,Steady Mature Regulars
CUST00997,46,Female,Lucknow,1507.5,25,11,153,27,Books & Stationery,200.0,2455.71,2.3,3,At-Risk Customers
CUST00276,26,Male,Delhi,643.9,55,15,90,29,Books & Stationery,200.0,2735.31,3.8,1,New Bargain Hunters
CUST00809,64,Male,Delhi,257.7,6,5,217,1,Electronics,200.0,1013.28,3.5,3,At-Risk Customers
CUST00908,52,Male,Lucknow,729.8,48,21,86,53,Sports & Fitness,200.0,3730.75,4.2,0,Steady Mature Regulars
CUST00658,69,Male,Kolkata,554.1,45,9,175,42,Books & Stationery,200.0,1727.68,3.7,0,Steady Mature Regulars
CUST00957,36,Male,Bengaluru,944.3,1,2,297,30,Beauty & Personal Care,200.0,406.82,2.7,3,At-Risk Customers
CUST00886,48,Male,Mumbai,667.4,49,16,8,17,Grocery,200.0,3374.48,3.3,0,Steady Mature Regulars
CUST00221,35,Male,Pune,282.6,33,14,80,28,Fashion & Apparel,200.0,2709.14,3.0,1,New Bargain Hunters
CUST00789,40,Female,Pune,1215.8,16,11,51,20,Home & Furniture,200.0,2243.0,1.9,3,At-Risk Customers
CUST00712,20,Female,Hyderabad,768.7,58,16,178,16,Sports & Fitness,200.0,3400.5,3.2,1,New Bargain Hunters
CUST00714,19,Male,Bengaluru,695.1,48,16,10,34,Electronics,200.0,2819.1,2.2,1,New Bargain Hunters
CUST01113,37,Female,Kolkata,802.2,40,18,15,24,Sports & Fitness,200.0,3389.99,3.2,1,New Bargain Hunters
CUST01191,36,Female,Lucknow,1187.0,23,6,15,33,Sports & Fitness,200.0,1196.28,3.3,3,At-Risk Customers
CUST00790,36,Female,Delhi,1202.0,81,22,181,30,Sports & Fitness,200.0,4210.47,3.9,1,New Bargain Hunters
CUST00416,22,Male,Jaipur,253.3,77,22,31,48,Electronics,200.0,4542.44,3.5,1,New Bargain Hunters
CUST00899,49,Male,Chennai,686.8,41,10,164,31,Electronics,200.0,2377.38,3.9,3,At-Risk Customers
